PathType,PathNo,Index,Row_X,Col_Y
SP,1,1,12,0,
SP,1,2,12,1,
SP,1,3,12,2,
SP,1,4,13,2,
SP,1,5,13,3,
SP,1,6,13,4,
SP,1,7,14,4,
SP,1,8,14,5,
SP,1,9,14,6,
SP,1,10,14,7,
SP,1,11,14,8,
SP,1,12,14,9,
SP,1,13,14,10,
SP,1,14,15,10,
SP,1,15,15,11,
SP,1,16,15,12,
SP,1,17,16,12,
SP,1,18,17,12,
SP,1,19,17,13,
SP,1,20,17,14,
SP,1,21,16,14,
SP,1,22,16,15,
SP,1,23,16,16,
SP,1,24,15,16,
SP,1,25,15,17,
SP,1,26,15,18,
SP,1,27,15,19,
SP,1,28,15,20,
SP,1,29,14,20,
SP,1,30,13,20,
SP,1,31,13,21,
SP,1,32,12,21,
SP,1,33,12,22,
SP,1,34,12,23,
SP,1,35,12,24,
SP,1,36,12,25,
SP,1,37,12,26,
SP,1,38,13,26,
SP,1,39,14,26,
SP,1,40,14,27,
SP,1,41,14,28,
SP,1,42,15,28,
SP,1,43,16,28,
SP,1,44,16,29,
